Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
01 12 2018 00:00,57.4070205688476,6.16697311401367,681.780444472923,47.6596794128417
01 12 2018 00:10,27.4405097961425,5.8843297958374,586.65679990569,49.751838684082
01 12 2018 00:20,0.364866495132446,5.16810894012451,378.397650577187,54.3502883911132
01 12 2018 00:30,0.0,4.60742092132568,245.08987176635,53.2662010192871
01 12 2018 00:40,0.0,4.71355390548706,268.62196493802,51.3654899597167
01 12 2018 00:50,0.0,3.31934809684753,34.3777956559325,47.0957794189453
01 12 2018 01:00,0.0,4.1574912071228,152.807273830714,63.492088317871
01 12 2018 01:10,0.0,4.52392721176147,227.081530625901,59.2129783630371
01 12 2018 01:20,0.0,5.47163677215576,460.877597655318,56.0906715393066
01 12 2018 01:30,0.0,5.42910003662109,448.833601671487,62.5500907897949
01 12 2018 01:40,0.0,5.32448196411132,419.897313080936,64.07470703125
01 12 2018 01:50,0.0,5.3739161491394,433.450232886433,67.4965133666992
01 12 2018 02:00,0.0,4.73868322372436,274.30250892702,68.1387329101562
01 12 2018 02:10,0.0,4.46149015426635,213.892653526606,65.1380386352539
01 12 2018 02:20,0.0,4.62790298461914,249.574380426803,67.2378005981445
01 12 2018 02:30,0.0,4.23254108428955,167.431699428466,65.4020767211914
01 12 2018 02:40,0.0,4.66454601287841,257.664563786773,61.9303894042968
01 12 2018 02:50,0.0,4.16446208953857,154.153795087441,69.8780136108398
01 12 2018 03:00,0.0,4.37256622314453,195.502426635455,67.202766418457
01 12 2018 03:10,0.0,3.13805794715881,21.9426540509785,68.6622085571289
01 12 2018 03:20,0.0,3.19824790954589,25.4881117966142,56.0167388916015
01 12 2018 03:30,0.0,3.18443894386291,24.6234641246747,62.1927795410156
01 12 2018 03:40,0.0,3.22909998893737,27.5301440404846,65.5811614990234
01 12 2018 03:50,0.0,3.3846800327301,40.1480592538619,68.8387832641601
01 12 2018 04:00,0.0,4.18897485733032,158.907852988149,72.762222290039
01 12 2018 04:10,0.0,4.07142305374145,136.375003534655,66.6180191040039
01 12 2018 04:20,0.0,4.55922985076904,234.643012360567,70.7059631347656
01 12 2018 04:30,0.0,4.32148694992065,185.140200025177,70.5543594360351
01 12 2018 04:40,0.0,5.03044700622558,343.514796638587,73.5358963012695
01 12 2018 04:50,0.0,4.90428400039672,312.828825923902,73.4357299804687
01 12 2018 05:00,0.0,4.83494520187377,296.462391919679,78.1984710693359
01 12 2018 05:10,0.0,3.91782593727111,112.762786082884,87.7505798339843
01 12 2018 05:20,0.0,4.1796178817749,157.089618349044,89.903450012207
01 12 2018 05:30,0.0,3.5531039237976,58.1732416031482,87.5113372802734
01 12 2018 05:40,0.0,3.76980996131896,88.0425088858801,76.1993865966796
